"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Chl_chrysurus",1,3,0,13,1,19,12,32,5,0,7,6,4,0,15,0.009,0.053,0,0.02,0.005,0.054,0.05,0.071,0.013,0,0.014,0.012,0.009,0,0.025
"Cit_macrops",0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.013,0,0,0,0,0,0,0,0
"Clupeidae_spp",0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.005,0,0,0.004,0,0,0,0,0,0,0.002
"Cte_boleosoma",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.003,0,0,0,0,0,0
"Cte_smaragdus",0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.002,0,0.003,0,0,0.003,0,0.002,0,0,0,0
"Cyn_arenarius",10,1,0,70,1,4,2,4,5,0,13,31,7,0,136,0.085,0.018,0,0.106,0.005,0.011,0.008,0.009,0.013,0,0.025,0.06,0.017,0,0.225
"Cyn_nebulosus",210,151,2,326,191,321,87,436,813,18,673,1539,1212,60,1312,1.795,2.649,0.167,0.492,0.96,0.912,0.366,0.973,2.053,3,1.304,2.988,2.858,2.222,2.169
"Cyp_variegatus",134,0,0,24,0,4,2,70,15,0,64,559,43,0,27,1.145,0,0,0.036,0,0.011,0.008,0.156,0.038,0,0.124,1.085,0.101,0,0.045
"Dac_moorei",0,0,0,0,0,3,3,2,0,0,3,0,0,0,4,0,0,0,0,0,0.009,0.013,0.004,0,0,0.006,0,0,0,0.007
"Dactyloscopidae_spp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0
"Das_americana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0
"Das_sabina",8,3,3,79,2,9,5,16,10,0,14,22,10,2,32,0.068,0.053,0.25,0.119,0.01,0.026,0.021,0.036,0.025,0,0.027,0.043,0.024,0.074,0.053
"Das_say",0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,0,0,0,0.002,0.005,0.003,0.004,0.002,0.003,0,0,0.002,0.007,0,0
"Dia_auratus",0,0,0,95,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0.143,0,0.023,0.004,0,0,0,0,0,0,0,0.002
"Diapterus_spp",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0
"Dip_formosum",0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0.004,0,0,0,0,0,0,0,0
"Dip_holbrookii",0,0,0,0,37,284,26,7,43,0,5,19,4,0,0,0,0,0,0,0.186,0.807,0.109,0.016,0.109,0,0.01,0.037,0.009,0,0
"Dor_petenense",0,0,0,15,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0.023,0,0.003,0,0,0.003,0,0,0.004,0,0,0
"Ech_neucratoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
"Elo_saurus",1,0,0,8,0,1,5,1,1,0,3,8,2,0,5,0.009,0,0,0.012,0,0.003,0.021,0.002,0.003,0,0.006,0.016,0.005,0,0.008
"Elo_smithi",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0
"Elopiformes_spp",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.004,0,0,0,0,0,0,0,0
